age,gender,income_level,nationality,GPA,attendance,course_completion,assignment_delays,LMS_logins,forum_posts,night_study_hours,engagement_score,sentiment_score,motivation,emotional_exhaustion,depersonalization,personal_accomplishment,autonomy,competence,relatedness,O,C,E,A,N,burnout_score,burnout_level,dropout_status,time_to_dropout
19,F,High,CN,2.99,71.58340368896404,30,4,37.257666666666665,4,10.767623805588848,84.99215640750965,-0.7169967986563033,48.538422430346614,21,7,31,2,5,4,78,26,30,97,53,0,Low,0,74
27,F,Medium,CN,2.39,92.52252447465621,86,2,35.257666666666665,5,9.517013816292405,72.57586695064157,0.01816557349400294,53.93235859120921,42,29,32,2,4,4,84,62,93,31,92,39,Medium,0,8
25,F,Low,US,2.92,80.75774828018858,51,4,24.257666666666665,8,12.8891906946465,51.89469248362659,-0.3163951349628775,36.90340359777983,20,12,9,3,2,1,28,48,76,60,58,23,Low,0,18
23,F,Medium,US,2.53,86.69754096711917,14,3,33.257666666666665,5,12.585930181119503,61.23605412853637,-0.3478969668038676,53.233152006487224,37,6,20,6,3,6,33,83,52,3,96,23,Low,0,11
23,F,Low,CN,2.86,84.01751910005686,8,2,31.257666666666665,4,6.813500567725392,78.6018521101624,-0.16107661274444407,67.49160457449065,16,22,2,1,5,2,83,87,42,11,38,36,Medium,0,63
28,M,Medium,CN,1.72,79.64665447706052,13,1,30.757666666666665,5,17.01746897105837,45.02209286701759,0.1448949793071379,49.427923132366054,32,24,8,3,1,4,60,96,43,65,10,48,Medium,1,22
19,F,Medium,CN,2.44,76.51700880851443,31,0,38.257666666666665,3,11.164403554258048,56.59730519773161,-0.9799931212631154,37.31613496115694,26,10,30,1,2,2,50,86,70,24,74,6,Low,1,22
26,M,Low,US,3.73,88.31558022483819,74,2,21.757666666666665,9,6.147496368727193,63.01200388440204,-0.6918200314693466,67.22983455616252,37,0,33,4,1,6,15,67,87,61,73,4,Low,1,22
20,F,Low,CN,3.42,91.62336567811155,4,1,26.757666666666665,6,6.567623563889233,84.62825376728021,0.22637168738694857,69.34562016066178,34,3,19,4,4,6,81,46,48,72,18,18,Low,1,75
19,F,Medium,US,3.66,90.84188347016097,41,1,37.257666666666665,4,3.466729556248227,95.71546021078012,0.4786932154665422,72.27962762917872,42,42,46,1,3,4,12,95,6,12,18,38,Medium,0,38
24,M,Low,US,3.69,68.14528366352316,45,0,25.757666666666665,5,12.29093749356526,75.68099950428255,0.350180893767422,35.21783588592631,28,41,23,2,5,6,43,39,66,68,10,46,Medium,1,18
29,F,High,CN,3.34,93.04911017844329,14,3,24.257666666666665,2,8.419401472740882,22.597182314828764,0.9819794707813723,87.41078565262447,13,34,40,2,1,5,45,97,45,18,53,7,Low,1,20
26,M,Medium,UK,2.77,76.42064745802355,5,1,32.757666666666665,4,7.478840421111378,53.24846576359874,-0.9045451817793484,50.24247998544921,4,13,21,1,3,6,72,98,87,43,35,0,Low,0,11
27,F,Medium,UK,2.48,72.44970462455166,23,2,28.257666666666665,5,8.068096365406042,100.0,0.03039080192530008,39.84600620220124,40,33,50,3,3,4,4,65,58,75,80,23,Low,0,31
26,M,Low,DE,3.57,78.30672303231526,15,1,26.757666666666665,6,9.098166750873945,72.36117739092431,-0.16302676884728307,80.4908072914732,10,46,44,2,5,4,1,98,1,47,93,12,Low,0,54
27,M,Medium,DE,3.03,88.31128435248732,80,5,20.257666666666665,4,11.726970057404696,30.903984377263335,-0.6021691065656305,86.70547828214171,5,43,7,2,6,4,62,28,28,15,22,41,Medium,1,9
24,F,High,IN,4.0,85.40464184028062,92,0,22.757666666666665,3,5.0666112596809665,100.0,0.7809749795696943,53.693337627512726,21,36,47,6,2,5,36,6,27,75,46,10,Low,0,41
19,M,Low,UK,2.82,77.44613588145732,62,2,33.257666666666665,6,6.790599467224917,49.95990076127913,-0.7129522120833987,43.34559749439639,47,7,33,2,3,3,7,52,26,0,32,21,Low,0,5
28,F,Medium,US,3.99,88.37665866877975,76,0,34.757666666666665,3,11.395101684320727,78.60218645485685,0.00918444299829102,68.84611258308742,16,22,39,2,4,3,78,32,46,99,18,0,Low,0,12
23,F,Low,DE,2.92,81.39860580759435,76,1,32.257666666666665,2,8.217769037502677,52.80556720655413,-0.6157345919164436,33.35081641586946,28,49,18,3,4,4,52,91,16,100,95,59,Medium,0,6
24,M,Medium,IN,3.67,74.27028534460626,88,2,22.757666666666665,6,11.746853218170454,100.0,-0.12703976480259227,100.0,23,39,4,6,2,6,62,67,78,87,74,58,Medium,0,57
22,M,Medium,UK,3.85,72.91964717041506,9,1,25.757666666666665,3,8.507609248983327,48.746596355337765,0.5810428795316904,39.35750961903122,38,2,17,2,3,1,36,12,71,29,42,23,Low,1,18
20,M,Medium,DE,2.49,84.1023484442162,100,1,39.757666666666665,7,14.72443845276655,61.220393517861,0.40118788009384887,67.1232087958985,41,44,10,4,5,6,22,61,35,4,14,75,High,1,36
29,M,Medium,UK,2.76,79.17482264184399,46,0,34.257666666666665,3,10.626009823635801,85.73492143723212,0.40082626823761514,56.785221005247045,24,22,17,6,1,5,32,74,67,89,7,29,Low,1,61
27,M,Medium,DE,2.48,66.24494846586364,54,3,22.257666666666665,7,13.678799230631027,61.70312099732476,-0.5698571289286778,41.604972732989154,22,7,22,6,5,1,91,39,88,71,68,7,Low,1,43
25,F,Low,US,2.39,88.47161493069503,80,3,30.257666666666665,2,11.553287456614704,77.29524216454763,-0.9542867272462181,41.284080684792826,20,0,33,4,5,4,77,95,41,41,42,0,Low,0,4
22,M,Low,US,3.33,75.1972497137558,49,2,19.757666666666665,2,11.734841336909765,82.46045155936028,0.44013438016846007,82.55459842963566,36,20,11,5,6,6,86,74,47,23,1,45,Medium,0,15
27,F,High,UK,2.9,95.92119647988794,26,2,41.257666666666665,1,7.742739194555583,72.65682301116152,-0.787780160582316,67.34517216870199,36,46,39,1,5,5,47,72,10,97,45,43,Medium,0,16
24,M,Medium,CN,3.03,65.97010014845289,1,3,34.757666666666665,3,13.502144696235625,53.33369595647378,-0.21961573663568434,46.077766420416104,13,30,7,5,2,4,89,32,56,40,40,36,Medium,0,10
23,F,Medium,US,3.28,78.19291403609989,17,1,25.257666666666665,7,10.647281656525099,58.194833313328324,0.6878456093999714,48.80140127474692,16,24,28,2,3,1,19,95,18,43,78,12,Low,0,1
23,F,Medium,UK,2.07,73.00022315560773,8,3,37.257666666666665,3,7.138606555941548,64.24859612525992,-0.18103966822239426,43.727000865215565,36,26,43,2,5,3,67,67,2,80,54,19,Low,1,85
20,M,Low,US,3.64,70.24577479622661,38,1,28.757666666666665,5,3.6700259141436256,78.81039651845933,-0.06913923431292734,77.62079916688421,30,13,35,3,2,2,39,72,40,75,35,8,Low,1,73
19,F,Low,DE,2.83,75.13209283241623,78,1,33.257666666666665,7,10.419819243293247,82.17544578825272,0.9158784371010009,78.44635350486163,37,0,23,5,5,5,19,81,70,40,3,14,Low,0,1
24,M,Low,US,3.27,97.70567609036982,33,3,31.757666666666665,5,14.5236188845645,73.07669691443745,0.8181198343440625,70.54681744535083,0,22,17,3,5,4,39,99,25,97,12,5,Low,0,29
28,M,High,CN,3.31,81.43370170079504,60,1,31.757666666666665,4,7.278558991291985,80.53246071163433,-0.8182497891039819,65.07503711497958,45,9,32,2,1,2,67,69,14,47,59,22,Low,0,17
18,F,Medium,DE,3.69,72.0829196120257,18,4,38.757666666666665,2,7.177578977558127,46.125418967508494,0.7336943320524956,72.53278221897831,42,48,25,5,2,3,53,97,74,28,78,65,High,0,9
28,F,Medium,CN,2.95,61.71371589662595,59,2,28.757666666666665,3,9.051220731555931,74.46555522946082,-0.010803345029389844,27.02071676309776,45,12,44,4,2,5,90,24,18,19,20,13,Low,0,38
27,M,Low,UK,1.94,62.78637453652314,96,5,27.257666666666665,4,13.30371104009696,69.02669960533281,0.5959455468642494,65.50295506080475,8,11,8,5,3,1,65,63,8,2,37,11,Low,0,5
21,M,Low,UK,3.03,74.63536855881264,31,0,34.257666666666665,1,4.489636761256966,77.42837420507327,-0.29575661647092555,81.36896103541541,28,22,39,4,5,3,55,45,1,8,9,11,Low,0,37
25,M,Medium,DE,3.1,73.6631201586134,48,1,28.257666666666665,4,8.049462142779465,81.28407895366351,0.914451049691358,64.61988007714496,31,17,2,4,2,1,30,60,39,45,3,46,Medium,0,62
19,M,Medium,CN,2.48,77.75949293765514,97,2,34.257666666666665,6,6.982717495474464,54.23353097403674,0.5931152393491486,61.05929605910717,14,30,48,1,1,2,81,88,40,98,72,0,Low,1,2
27,M,High,DE,3.07,57.27816199564148,61,0,27.257666666666665,0,11.686303702530122,68.35001926818086,-0.10118560520703568,47.28009419807644,43,0,23,3,3,3,31,90,89,76,84,20,Low,0,18
26,M,Medium,CN,2.82,79.08318404953467,40,1,38.757666666666665,3,9.571853858551234,90.01715570563148,-0.2785608235854782,48.61186568546553,3,49,0,1,6,4,14,7,73,18,80,52,Medium,0,97
22,F,Medium,DE,2.33,90.27729775147108,12,1,26.757666666666665,1,8.960260399215219,74.55934513358939,-0.5779078392944177,49.53416449578563,34,11,49,2,6,3,80,77,34,56,97,0,Low,0,40
18,M,Medium,UK,3.34,96.22841247364195,94,3,20.757666666666665,7,9.459758617571005,68.49623590643883,-0.44921186025646054,64.46029922668606,29,33,10,5,3,6,72,96,34,40,68,52,Medium,0,10
29,F,High,US,2.72,61.055538520828605,61,1,19.257666666666665,9,12.354474006773659,51.73204006980906,-0.11587150201514351,50.29827271167376,24,45,47,1,2,3,18,60,76,84,97,22,Low,1,2
23,F,Medium,UK,2.8,71.98607240760845,5,1,32.257666666666665,7,13.364806821597949,78.14245529744348,-0.29156353473406904,23.5319949097143,39,2,37,2,3,4,99,61,16,25,28,4,Low,1,83
28,F,Medium,DE,2.77,71.45766139025464,56,0,33.757666666666665,6,13.07388890570665,49.14608621701657,0.2882339864754211,75.95487409710248,25,24,45,1,3,6,66,72,30,26,62,4,Low,0,1
26,M,High,US,3.62,81.4572142752565,97,0,23.757666666666665,3,11.726219165574895,67.32399228407444,0.2710793215439453,70.44430771465132,3,30,31,3,2,4,54,98,71,69,30,2,Low,0,22
27,F,Low,DE,2.98,67.80227532123547,94,2,32.257666666666665,7,14.1517151830822,62.63165733053649,-0.6130143112922877,67.10529820024003,22,5,18,3,4,2,99,7,65,6,26,9,Low,0,21
27,F,High,US,3.04,96.82263248726682,19,3,27.257666666666665,8,7.205157620051785,75.90148958510234,-0.47847842265580365,41.26306096249482,47,33,24,5,4,1,74,81,93,28,28,56,Medium,1,50
20,M,Low,DE,2.78,80.43522471685739,41,4,32.757666666666665,4,11.163040705176678,61.01963063444693,-0.9096059130738794,50.15460760873004,1,42,38,1,2,5,78,96,56,22,87,5,Low,0,1
22,F,Medium,UK,3.23,78.76853710700789,99,3,37.757666666666665,3,17.04576522679957,65.07315099185311,-0.2350845550746068,70.37978671031196,3,6,23,1,5,2,57,2,25,43,75,0,Low,0,19
23,M,Medium,US,3.67,95.92713733782777,78,2,36.257666666666665,7,4.489784328080236,56.33936249664741,-0.05309878079486441,60.5286692554834,39,43,47,3,6,2,26,42,52,23,17,35,Medium,1,103
23,F,Medium,UK,3.32,79.83952375916652,56,2,28.257666666666665,9,8.397302320654337,66.27347566415612,-0.7898141727401398,46.04119338995359,5,23,28,1,5,6,6,71,31,84,52,0,Low,1,14
18,M,Medium,US,3.34,84.00303406498689,30,3,33.757666666666665,3,6.892471489556059,73.22099274939751,-0.8297418290268674,85.9928045316888,48,49,3,1,1,1,3,9,14,33,75,94,High,0,17
24,F,Medium,CN,3.3,72.4920172670795,77,0,24.757666666666665,3,10.86615769424375,64.78921205455211,-0.46437583219643375,43.0577725602901,27,14,3,4,3,2,24,20,54,36,76,38,Medium,0,44
19,M,Low,DE,2.31,66.29497934945617,58,1,31.257666666666665,3,14.313495498457517,65.29721192390939,-0.01715186666954982,0.2989859691004142,36,3,22,6,1,4,29,38,5,31,88,17,Low,0,117
26,M,Low,IN,2.56,73.8963836849577,52,1,24.757666666666665,8,11.612520996640537,72.46795872578895,0.9668688508643966,61.746299527660426,35,33,1,1,3,6,31,94,21,42,72,67,High,0,13
